episode_id,total_reward,steps,brick_hits,lives_left
1,2.0,220,2,0
2,2.0,231,2,0
3,1.0,186,1,0
4,0.0,131,0,0
5,2.0,211,2,0
6,5.0,326,5,0
7,0.0,138,0,0
8,3.0,229,3,0
9,0.0,135,0,0
10,2.0,203,2,0
11,1.0,166,1,0
12,0.0,143,0,0
13,0.0,139,0,0
14,1.0,186,1,0
15,2.0,215,2,0
16,2.0,218,2,0
17,1.0,178,1,0
18,3.0,261,3,0
19,1.0,180,1,0
20,1.0,174,1,0
21,2.0,238,2,0
22,0.0,138,0,0
23,0.0,127,0,0
24,2.0,209,2,0
25,2.0,248,2,0
26,0.0,137,0,0
27,2.0,205,2,0
28,0.0,131,0,0
29,0.0,134,0,0
30,1.0,176,1,0
31,2.0,214,2,0
32,1.0,160,1,0
33,0.0,134,0,0
34,0.0,125,0,0
35,2.0,209,2,0
36,1.0,168,1,0
37,1.0,187,1,0
38,2.0,224,2,0
39,2.0,208,2,0
40,0.0,131,0,0
41,0.0,146,0,0
42,0.0,141,0,0
43,0.0,131,0,0
44,0.0,134,0,0
45,2.0,202,2,0
46,2.0,210,2,0
47,0.0,136,0,0
48,2.0,205,2,0
49,1.0,183,1,0
50,2.0,211,2,0
51,1.0,163,1,0
52,1.0,189,1,0
53,2.0,199,2,0
54,1.0,173,1,0
55,3.0,226,3,0
56,0.0,146,0,0
57,0.0,134,0,0
58,5.0,313,5,0
59,1.0,167,1,0
60,0.0,143,0,0
61,1.0,173,1,0
62,0.0,136,0,0
